City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
542,ancud,-41.8697,-73.8203,289.71,73,26,3.14,CL,1675638664
543,sharjah,25.3573,55.4033,292.14,82,0,3.09,AE,1675638428
544,bakloh,32.4667,75.9167,283.38,46,85,2.73,IN,1675638665
545,hiroshima,34.3963,132.4594,275.03,74,85,2.47,JP,1675638666
546,tezu,27.9167,96.1667,287.93,37,1,1.77,IN,1675638666
547,salinopolis,-0.6136,-47.3561,298.5,88,100,4.34,BR,1675638667
548,campbellford,44.3084,-77.7995,277.35,75,100,0.89,CA,1675638668
549,coos bay,43.3665,-124.2179,282.67,87,100,6.69,US,1675638551
550,santiago del estero,-27.7951,-64.2615,302.56,38,91,3.1,AR,1675638669
551,kununurra,-15.7667,128.7333,300.14,89,29,0.0,AU,1675638570
552,rustam,27.969,68.8048,286.12,29,0,2.35,PK,1675638669
553,lewistown,40.5992,-77.5714,282.12,48,0,1.54,US,1675638670
554,vilcun,-38.65,-72.2333,293.56,53,0,3.6,CL,1675638671
555,kamphaeng phet,16.25,99.5,297.28,71,63,1.0,TH,1675638671
556,lashio,22.9333,97.75,282.15,57,75,0.7,MM,1675638672
557,becerril,9.7041,-73.2793,303.91,45,88,3.98,CO,1675638673
558,havelock,34.8791,-76.9013,291.14,75,100,3.09,US,1675638311
559,nabire,-3.3667,135.4833,298.06,92,100,0.79,ID,1675638674
560,kaoma,-14.7833,24.8,291.18,98,100,0.03,ZM,1675638674
561,griffith,41.5284,-87.4237,277.31,70,40,4.63,US,1675638477
562,kibala,9.1104,18.3463,299.82,15,96,2.86,TD,1675638675
563,dickinson,29.4608,-95.0513,296.57,72,40,6.17,US,1675638667
564,den helder,52.9599,4.7593,278.7,88,100,2.68,NL,1675638676
565,naze,28.3667,129.4833,290.03,84,100,5.39,JP,1675638677
566,los llanos de aridane,28.6585,-17.9182,287.01,68,40,4.12,ES,1675638677
